#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T01:44:54 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T01:44:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/646/A77/catalog&-order=I&-out=Star&-out=Nobs&-out=Nnights&-out=Tspan&-out=snr-med&-out=DateStart&-out=DateEnd&-out=Vmag&-out=e_Vmag&-out=r_Vmag&-out.all=2&-out=B-V&-out=e_B-V&-out=r_B-V&-out=plx&-out=e_plx&-out=r_plx&-out=d&-out=Nplt&-out=SpType&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out.all=2&-out=[Fe/H]&-out=e_[Fe/H]&-out=r_Teff&-out=Mass&-out=e_Mass&-out=Radius&-out=e_Radius&-out=Age&-out=e_Age&-out=SMWmed&-out=SMWwmean&-out=e_SMW&-out=s_SMW&-out.all=2&-out=logRHKmed&-out=logRHKwmean&-out=e_logRHK&-out=R5med&-out=R5wmean&-out=e_R5&-out=s_R5&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36460077
#Name: J/A+A/646/A77
#Title: Chromospheric activity from AMBRE-HARPS (Gomes da Silva+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	creator=Gomes da Silva J.	    First author or institution
#INFO	cites=bibcode:2021A&A...646A..77G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/646/A77	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36460077	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_646_A77_catalog:
#Name: J/A+A/646/A77/catalog
#Title: Catalogue data
#Column	Star	(a23)	Stellar main identification in SIMBAD	[ucd=meta.id;meta.main]
#Column	Nobs	(I5)	Total number of observations	[ucd=meta.number]
#Column	Nnights	(I3)	Total number of nights	[ucd=meta.number]
#Column	Tspan	(I4)	Timespan of observations	[ucd=time.interval]
#Column	snr-med	(I3)	Median signal-to-noise ratio	[ucd=em.wl.central;stat.median]
#Column	DateStart	(A23)	Date of start of observations	[ucd=time.epoch]
#Column	DateEnd	(A23)	Date of end of observations	[ucd=time.epoch]
#Column	Vmag	(F6.3)	? Apparent V-band magnitude (dereddened)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Apparent V-band magnitude uncertainty	[ucd=stat.error;phot.mag]
#Column	r_Vmag	(A19)	Apparent V-band magnitude reference	[ucd=meta.ref;pos.frame]
#Column	B-V	(F6.3)	? B-V colour (dereddened)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? B-V colour uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	r_B-V	(A19)	B-V colour reference	[ucd=meta.ref;phot.color;em.opt.B]
#Column	plx	(F7.3)	? Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Parallax uncertainty	[ucd=stat.error;pos.parallax]
#Column	r_plx	(A19)	Parallax reference	[ucd=meta.ref;pos.frame]
#Column	d	(F7.2)	? Geometric distance	[ucd=pos.distance]
#Column	Nplt	(I1)	? Number of planets in system (as of 2019-12-12)	[ucd=meta.number]
#Column	SpType	(A2)	Spectral type	[ucd=src.spType]
#Column	Teff	(I4)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.1)	? Effective temperature uncertainty	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	? Logarithm of surface gravity uncertainty	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Metallicity uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	r_Teff	(a19)	Reference for teff, logg, and feh	[ucd=meta.ref;pos.frame]
#Column	Mass	(F6.3)	? Mass	[ucd=phys.mass]
#Column	e_Mass	(F6.3)	? Mass uncertainty	[ucd=stat.error;phys.mass]
#Column	Radius	(F6.3)	? Radius	[ucd=phys.angSize;src]
#Column	e_Radius	(F6.3)	? Radius uncertainty	[ucd=stat.error;phys.size.radius]
#Column	Age	(F6.3)	? Age	[ucd=time.age]
#Column	e_Age	(F6.3)	? Age uncertainty	[ucd=stat.error;time.age]
#Column	SMWmed	(F7.4)	Median S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	SMWwmean	(F7.4)	Weighted mean S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	e_SMW	(F7.4)	Uncertainty of S-index in Mt. Wilson scale	[ucd=stat.error]
#Column	s_SMW	(F7.4)	Weighted standard deviation of S-index in Mt. Wilson scale	[ucd=stat.stdev;phys.atmol.wOscStrength]
#Column	logRHKmed	(F7.4)	? Median log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	logRHKwmean	(F7.4)	? Weighted mean log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	? Uncertanty on log R'_HK_ index	[ucd=stat.error]
#Column	R5med	(F6.3)	? Median R_5_ index (R_5_ = R'_HK_ x 10^5)	[ucd=phot.flux;arith.ratio]
#Column	R5wmean	(F6.3)	? Weighted mean R_5_ index	[ucd=phot.flux;arith.ratio]
#Column	e_R5	(F6.3)	? Uncertainty on R_5_ index	[ucd=stat.error]
#Column	s_R5	(F6.3)	? Weighted standard deviation of R_5_ index	[ucd=spect.index]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star;Nobs;Nnights;Tspan;snr-med;DateStart;DateEnd;Vmag;e_Vmag;r_Vmag;B-V;e_B-V;r_B-V;plx;e_plx;r_plx;d;Nplt;SpType;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];r_Teff;Mass;e_Mass;Radius;e_Radius;Age;e_Age;SMWmed;SMWwmean;e_SMW;s_SMW;logRHKmed;logRHKwmean;e_logRHK;R5med;R5wmean;e_R5;s_R5;Simbad;_RA;_DE
HD 100777              ;   37; 17; 890; 51;2004-02-28T05:32:19.403;2007-07-13T00:12:17.596; 8.348; 0.010;1997A&A...323L..49P; 0.734; 0.020;2007A&A...474..653V; 20.160; 0.059;2018A&A...616A...1G;  49.60;1;G7;5536; 26.0; 4.28; 0.05; 0.25; 0.02;2008A&A...487..373S; 0.990; 0.014; 1.058; 0.020; 7.757; 1.713; 0.1549; 0.1567; 0.0013; 0.0047;-5.0869;-5.0757; 0.0083; 0.819; 0.840; 0.016; 0.054;Simbad;173.96468;-04.75569
HD 100788              ;    2;  1;   1; 43;2004-12-21T08:38:08.384;2004-12-22T07:50:06.890; 8.632; 0.010;1997A&A...323L..49P; 0.554; 0.014;2007A&A...474..653V; 11.252; 0.035;2018A&A...616A...1G;  88.87;0;F9;5988; 31.0; 3.92; 0.06;-0.06; 0.02;thiswork           ; 1.071; 0.018; 1.384; 0.016; 6.541; 1.408; 0.1669; 0.1669; 0.0012; 0.0000;-4.9295;-4.9295; 0.0072; 1.176; 1.176; 0.019; 0.000;Simbad;173.89314;-52.46897
HD 101117              ;    3;  2;   1; 39;2004-12-21T08:15:08.890;2004-12-23T07:33:27.828; 7.856; 0.010;1997A&A...323L..49P; 0.633; 0.010;2007A&A...474..653V; 15.237; 0.035;2018A&A...616A...1G;  65.63;0;F8;6155; 87.0; 4.19; 0.12; 0.45; 0.06;thiswork           ; 1.306; 0.022; 1.358; 0.041; 1.090; 0.855; 0.3013; 0.3009; 0.0026; 0.0009;-4.5108;-4.5116; 0.0055; 3.084; 3.079; 0.039; 0.013;Simbad;174.44972;-52.89119
HD 101197              ;   11;  5;2196; 53;2007-05-27T23:10:10.095;2013-06-01T01:55:14.477; 8.719; 0.010;1997A&A...323L..49P; 0.655; 0.018;2007A&A...474..653V; 10.866; 0.050;2018A&A...616A...1G;  92.03;0;G1;5859; 31.0; 4.12; 0.04; 0.29; 0.02;thiswork           ; 1.211; 0.029; 1.445; 0.020; 4.289; 1.029; 0.1640; 0.1677; 0.0011; 0.0062;-4.9941;-4.9721; 0.0067; 1.014; 1.066; 0.016; 0.087;Simbad;174.65916;-11.23924
HD 101339              ;   25; 14;4745; 48;2004-02-28T05:39:42.879;2018-01-31T06:49:19.549; 8.805; 0.010;1997A&A...323L..49P; 0.668; 0.030;2007A&A...474..653V; 16.722; 0.057;2018A&A...616A...1G;  59.80;0;G3;5731; 18.0; 4.35; 0.02;-0.10; 0.01;2017A&A...606A..94D; 0.940; 0.013; 0.955; 0.004; 6.337; 1.463; 0.1747; 0.1761; 0.0015; 0.0072;-4.9431;-4.9354; 0.0076; 1.140; 1.160; 0.020; 0.098;Simbad;174.91582;-04.98447
HD 101348              ;   16;  9;2196;102;2007-05-27T23:47:22.575;2013-06-01T02:12:48.840; 7.797; 0.010;1997A&A...323L..49P; 0.703; 0.005;2007A&A...474..653V; 12.604; 0.048;2018A&A...616A...1G;  79.34;0;G2;5806; 33.0; 3.90; 0.06; 0.38; 0.03;thiswork           ; 1.369; 0.031; 1.942; 0.044; 3.490; 0.961; 0.1378; 0.1377; 0.0008; 0.0031;-5.2429;-5.2438; 0.0076; 0.572; 0.570; 0.010; 0.037;Simbad;174.90250;-35.23256
HD 101367              ;    9;  2;1139; 52;2004-02-28T05:49:54.207;2014-03-15T03:20:05.908; 8.566; 0.010;1997A&A...323L..49P; 0.745; 0.002;2007A&A...474..653V; 17.143; 0.058;2018A&A...616A...1G;  58.33;0;G6;5615; 27.0; 4.30; 0.05; 0.29; 0.02;2017A&A...606A..94D; 1.033; 0.014; 1.091; 0.016; 5.983; 1.432; 0.1497; 0.1487; 0.0014; 0.0090;-5.1213;-5.1278; 0.0091; 0.756; 0.745; 0.016; 0.102;Simbad;174.98310;-04.96082
HD 101581              ;    6;  5;1155;139;2004-01-11T08:39:57.411;2007-03-12T06:25:44.943; 7.775; 0.010;1997A&A...323L..49P; 1.066; 0.020;2007A&A...474..653V; 78.230; 0.069;2018A&A...616A...1G;  12.78;0;K4;4615; 56.0; 4.70; 0.17;-0.51; 0.09;2017A&A...606A..94D; 0.626; 0.016; 0.587; 0.014; 5.647; 4.900; 0.4878; 0.4903; 0.0014; 0.0128;-4.7075;-4.7052; 0.0013; 1.961; 1.972; 0.006; 0.053;Simbad;175.26028;-44.40519
HD 101612              ;   44; 23;3438; 94;2004-02-28T07:17:32.133;2014-06-30T01:28:37.261; 7.529; 0.010;1997A&A...323L..49P; 0.499; 0.011;2007A&A...474..653V; 19.810; 0.041;2018A&A...616A...1G;  50.48;0;F7;6281; 43.0; 4.07; 0.03;-0.36; 0.03;2017A&A...606A..94D; 1.024; 0.020; 1.195; 0.022; 4.866; 1.064; 0.1637; 0.1638; 0.0009; 0.0019;-4.8320;-4.8316; 0.0048; 1.472; 1.474; 0.016; 0.037;Simbad;175.34366;-26.66719
HD 101644              ;   24; 21;1889; 58;2005-02-04T09:42:35.334;2010-04-08T03:43:41.968; 9.162; 0.010;1997A&A...323L..49P; 0.573; 0.002;2007A&A...474..653V; 16.189; 0.061;2018A&A...616A...1G;  61.77;0;G4;5678; 18.0; 4.47; 0.02;-0.56; 0.01;2017A&A...606A..94D; 0.772; 0.031; 0.848; 0.019; 5.232;11.619; 0.2005; 0.1986; 0.0014; 0.0079;-4.7402;-4.7481; 0.0056; 1.819; 1.786; 0.024; 0.133;Simbad;175.43771;-06.68452
HD 101650              ;   23;  9;1137; 39;2005-02-05T08:23:37.100;2011-05-10T01:24:57.966;10.572; 0.010;1997A&A...323L..49P; 1.088; 0.108;2007A&A...474..653V; 23.731; 0.043;2018A&A...616A...1G;  42.14;0;K4;4626;323.0; 4.59; 0.68;-0.45; 0.11;2011A&A...533A.141S; 0.612; 0.018; 0.568; 0.018; 4.695; 4.713; 0.5735; 0.5689; 0.0052; 0.0171;-4.6672;-4.6708; 0.0040; 2.152; 2.134; 0.020; 0.065;Simbad;175.41762;-23.19911
HD 10166               ;    2;  2; 320; 61;2003-12-17T04:10:52.227;2004-11-01T04:38:59.433; 9.369; 0.010;1997A&A...323L..49P; 0.794; 0.001;2007A&A...474..653V; 21.366; 0.034;2018A&A...616A...1G;  46.80;0;K1;5221; 31.0; 4.55; 0.07;-0.39; 0.02;2008A&A...487..373S; 0.737; 0.015; 0.724; 0.005; 9.788; 3.592; 0.2517; 0.2536; 0.0018; 0.0044;-4.7543;-4.7498; 0.0044; 1.761; 1.779; 0.018; 0.044;Simbad;024.74104;-27.25221
HD 10180               ;  336;272;5048;152;2003-11-05T04:39:25.458;2017-08-31T07:02:21.544; 7.326; 0.010;1997A&A...323L..49P; 0.628; 0.009;2007A&A...474..653V; 25.638; 0.025;2018A&A...616A...1G;  39.00;6;G0;5911; 19.0; 4.19; 0.03; 0.08; 0.01;2008A&A...487..373S; 1.074; 0.011; 1.148; 0.005; 4.630; 1.069; 0.1605; 0.1603; 0.0007; 0.0019;-4.9940;-4.9957; 0.0043; 1.014; 1.010; 0.010; 0.029;Simbad;024.47324;-60.51152
HD 10188               ;    9;  9;2193; 83;2007-09-26T08:51:30.949;2013-09-27T02:06:49.531; 8.917; 0.010;1997A&A...323L..49P; 0.668; 0.019;2007A&A...474..653V;  9.170; 0.038;2018A&A...616A...1G; 109.05;0;G1;5865; 29.0; 4.01; 0.05; 0.41; 0.02;thiswork           ; 1.285; 0.015; 1.550; 0.036; 3.390; 0.839; 0.1512; 0.1513; 0.0010; 0.0034;-5.0865;-5.0857; 0.0071; 0.819; 0.821; 0.013; 0.047;Simbad;024.75816;-33.46813
HD 101900              ;    2;  1;   1; 40;2004-12-23T08:04:39.775;2004-12-24T06:58:18.195; 9.009; 0.010;1997A&A...323L..49P; 0.544; 0.016;2007A&A...474..653V; 14.455; 0.040;2018A&A...616A...1G;  69.18;0;G2;5823; 47.0; 4.20; 0.05;-0.40; 0.04;thiswork           ; 0.843; 0.021; 0.975; 0.023;10.704; 2.570; 0.1772; 0.1772; 0.0013; 0.0000;-4.8136;-4.8136; 0.0065; 1.536; 1.536; 0.023; 0.000;Simbad;175.88557;-39.68321
HD 101930              ;   74; 70;4528;104;2004-02-03T06:42:27.732;2016-06-26T23:41:47.983; 8.207; 0.010;1997A&A...323L..49P; 0.907; 0.003;2007A&A...474..653V; 33.274; 0.045;2018A&A...616A...1G;  30.05;1;K1;5164; 61.0; 4.49; 0.11; 0.13; 0.04;2008A&A...487..373S; 0.870; 0.028; 0.825; 0.018; 5.250; 4.543; 0.1889; 0.1868; 0.0011; 0.0128;-4.9983;-5.0048; 0.0033; 1.004; 0.989; 0.008; 0.091;Simbad;175.87547;-58.00688
HD 102117              ;   85; 69;4509;154;2004-01-13T08:30:07.015;2016-05-18T03:48:30.670; 7.465; 0.010;1997A&A...323L..49P; 0.719; 0.009;2007A&A...474..653V; 25.237; 0.041;2018A&A...616A...1G;  39.62;1;G5;5657; 24.0; 4.21; 0.04; 0.28; 0.02;2008A&A...487..373S; 1.054; 0.014; 1.203; 0.009; 7.032; 1.429; 0.1484; 0.1491; 0.0007; 0.0023;-5.1262;-5.1215; 0.0050; 0.748; 0.756; 0.009; 0.028;Simbad;176.21025;-58.70371
HD 102136              ;    2;  2;  14; 50;2004-02-01T07:36:06.878;2004-02-15T06:34:55.963; 9.352; 0.010;1997A&A...323L..49P; 0.776; 0.001;2007A&A...474..653V; 17.800; 0.041;2018A&A...616A...1G;  56.18;0;G9;5349; 24.0; 4.45; 0.04;-0.09; 0.01;2017A&A...606A..94D; 0.842; 0.017; 0.831; 0.008; 8.221; 2.606; 0.3136; 0.3138; 0.0023; 0.0010;-4.6101;-4.6098; 0.0042; 2.454; 2.456; 0.023; 0.010;Simbad;176.29746;-40.74601
HD 102195              ;   24; 21;1444;137;2005-05-11T01:34:51.427;2009-04-24T04:16:44.214; 8.081; 0.010;1997A&A...323L..49P; 0.839; 0.019;2007A&A...474..653V; 34.056; 0.055;2018A&A...616A...1G;  29.36;1;G9;5311; 29.0; 4.47; 0.06; 0.04; 0.02;2013A&A...556A.150S; 0.900; 0.015; 0.799; 0.012; 1.372; 1.430; 0.4049; 0.4065; 0.0018; 0.0133;-4.5277;-4.5256; 0.0023; 2.967; 2.981; 0.015; 0.115;Simbad;176.42622;+02.82148
HD 102196              ;   10;  8;1885;104;2008-04-21T05:36:02.719;2013-06-20T01:27:51.282; 8.143; 0.010;1997A&A...323L..49P; 0.567; 0.015;2007A&A...474..653V;  9.863; 0.051;2018A&A...616A...1G; 101.39;0;F7;6223; 41.0; 3.91; 0.06; 0.30; 0.03;thiswork           ; 1.431; 0.016; 1.799; 0.038; 2.302; 0.612; 0.1471; 0.1470; 0.0008; 0.0018;-5.0275;-5.0281; 0.0061; 0.939; 0.937; 0.013; 0.031;Simbad;176.41025;-16.07811
HD 102200              ;    7;  6;1153; 77;2004-01-12T08:45:27.239;2007-03-10T04:03:50.013; 8.741; 0.010;1997A&A...323L..49P; 0.431; 0.017;2007A&A...474..653V; 13.844; 0.033;2018A&A...616A...1G;  72.23;0;F8;6185; 65.0; 4.28; 0.05;-1.10; 0.04;2017A&A...606A..94D; 0.777; 0.018; 1.026; 0.024;11.498; 2.975; 0.1672; 0.1670; 0.0014; 0.0044;-4.7320;-4.7330; 0.0069; 1.854; 1.849; 0.029; 0.094;Simbad;176.39264;-46.06288
HD 10226               ;    2;  1;   1; 39;2004-12-20T01:41:42.144;2004-12-21T00:40:34.708; 7.852; 0.010;1997A&A...323L..49P; 0.608; 0.005;2007A&A...474..653V; 20.852; 0.054;2018A&A...616A...1G;  47.96;0;F9;6000; 28.0; 4.15; 0.04; 0.25; 0.02;thiswork           ; 1.171; 0.010; 1.089; 0.018; 0.366; 0.277; 0.2006; 0.2006; 0.0016; 0.0000;-4.7742;-4.7742; 0.0063; 1.682; 1.682; 0.024; 0.000;Simbad;024.97750;-09.97224
HD 102300              ;    7;  5;2626; 59;2004-02-28T07:21:18.156;2011-05-29T02:21:28.645; 7.676; 0.010;1997A&A...323L..49P; 0.547; 0.011;2007A&A...474..653V; 17.010; 0.052;2018A&A...616A...1G;  58.79;0;F9;5987; 32.0; 4.00; 0.06;-0.31; 0.02;2017A&A...606A..94D; 0.978; 0.014; 1.441; 0.018; 8.378; 2.257; 0.1509; 0.1492; 0.0012; 0.0053;-4.9739;-4.9866; 0.0087; 1.062; 1.031; 0.021; 0.094;Simbad;176.61475;-24.97624
HD 102346              ;    9;  6;   5; 40;2004-12-21T08:04:03.941;2004-12-26T08:21:09.816; 8.149; 0.010;1997A&A...323L..49P; 0.551; 0.015;2007A&A...474..653V; 17.558; 0.060;2018A&A...616A...1G;  56.95;0;F7;6271; 63.0; 4.35; 0.08; 0.15; 0.05;thiswork           ; 1.160; 0.013; 1.053; 0.016; 0.321; 0.204; 0.2974; 0.2976; 0.0023; 0.0044;-4.4425;-4.4420; 0.0049; 3.610; 3.614; 0.041; 0.077;Simbad;176.67648;-19.46976
HD 102365              ;  473;105;4934;236;2003-11-06T08:58:12.452;2017-05-10T02:40:48.439; 4.899; 0.010;1997A&A...323L..49P; 0.667; 0.004;2007A&A...474..653V;107.621; 0.164;2018A&A...616A...1G;   9.29;1;G5;5629; 29.0; 4.35; 0.03;-0.29; 0.02;2008A&A...487..373S; 0.825; 0.012; 0.932; 0.021;12.237; 3.262; 0.1735; 0.1735; 0.0006; 0.0017;-4.9490;-4.9489; 0.0030; 1.125; 1.125; 0.008; 0.024;Simbad;176.62947;-40.50036
HD 102438              ;  115; 66;5228;202;2004-02-03T07:53:14.394;2018-05-28T03:44:39.049; 6.433; 0.010;1997A&A...323L..49P; 0.664; 0.001;2007A&A...474..653V; 56.368; 0.034;2018A&A...616A...1G;  17.74;0;G7;5560; 13.0; 4.35; 0.03;-0.29; 0.01;2008A&A...487..373S; 0.816; 0.018; 0.912; 0.000;10.268;12.505; 0.1730; 0.1729; 0.0006; 0.0017;-4.9491;-4.9497; 0.0033; 1.124; 1.123; 0.008; 0.023;Simbad;176.81587;-30.28651
HD 10261               ;    2;  1;   1; 41;2004-12-23T02:19:47.675;2004-12-24T02:51:08.049; 8.917; 0.010;1997A&A...323L..49P; 0.904; 0.025;2007A&A...474..653V; 26.825; 0.070;2018A&A...616A...1G;  37.28;0;K2;5083; 43.0; 4.47; 0.12; 0.03; 0.02;thiswork           ; 0.830; 0.023; 0.775; 0.018; 4.775; 4.228; 0.5277; 0.5277; 0.0042; 0.0000;-4.4650;-4.4650; 0.0038; 3.427; 3.427; 0.030; 0.000;Simbad;025.18405;+15.61945
HD 10278               ;   18; 16;3202; 75;2004-12-20T01:44:41.551;2013-09-26T07:04:51.973; 9.121; 0.010;1997A&A...323L..49P; 0.692; 0.009;2007A&A...474..653V; 15.190; 0.049;2018A&A...616A...1G;  65.83;0;G3;5718; 27.0; 4.29; 0.04; 0.16; 0.02;thiswork           ; 1.046; 0.010; 0.930; 0.021; 0.479; 0.420; 0.2743; 0.2904; 0.0017; 0.0309;-4.6224;-4.5860; 0.0040; 2.386; 2.594; 0.022; 0.399;Simbad;025.09355;-10.44446
HD 102843              ;    7;  2;3315; 44;2005-02-09T05:24:04.891;2015-03-20T02:16:52.039; 9.239; 0.010;1997A&A...323L..49P; 0.779; 0.004;2007A&A...474..653V; 15.906; 0.053;2018A&A...616A...1G;  62.87;1;G8;5432; 32.0; 4.34; 0.05; 0.16; 0.02;2017A&A...606A..94D; 0.938; 0.022; 0.939; 0.021; 6.857; 2.449; 0.1815; 0.1816; 0.0018; 0.0063;-4.9669;-4.9664; 0.0076; 1.079; 1.081; 0.019; 0.065;Simbad;177.58721;-01.25246
HD 103197              ;   64; 26;2234; 59;2004-02-21T07:22:11.723;2018-04-07T04:40:52.513; 9.391; 0.010;1997A&A...323L..49P; 0.857; 0.023;2007A&A...474..653V; 17.470; 0.029;2018A&A...616A...1G;  57.24;1;K0;5250; 60.0; 4.51; 0.11; 0.22; 0.04;2017A&A...606A..94D; 0.911; 0.031; 0.872; 0.022; 4.993; 4.304; 0.1622; 0.1603; 0.0014; 0.0086;-5.0719;-5.0796; 0.0059; 0.848; 0.832; 0.011; 0.071;Simbad;178.22074;-50.29282
HD 10337               ;    5;  5;   6;158;2005-11-27T04:00:54.816;2005-12-03T02:49:08.038; 8.084; 0.010;1997A&A...323L..49P; 0.733; 0.016;2007A&A...474..653V; 23.892; 0.064;2018A&A...616A...1G;  41.86;0;G6;5568; 18.0; 4.25; 0.03; 0.14; 0.01;thiswork           ; 0.971; 0.013; 1.000; 0.004; 6.864; 1.353; 0.1602; 0.1596; 0.0007; 0.0013;-5.0550;-5.0585; 0.0039; 0.881; 0.874; 0.008; 0.016;Simbad;025.27782;+03.71390
HD 103774              ;  122;107;4850; 53;2004-12-21T08:06:39.477;2018-04-02T07:08:13.229; 7.122; 0.010;1997A&A...323L..49P; 0.500; 0.014;2007A&A...474..653V; 17.699; 0.056;2018A&A...616A...1G;  56.50;1;F3;6732; 56.0; 4.29; 0.06; 0.29; 0.03;2013A&A...556A.150S; 1.442; 0.010; 1.384; 0.015; 0.178; 0.121; 0.1771; 0.1755; 0.0015; 0.0086;-4.7643;-4.7718; 0.0073; 1.721; 1.691; 0.029; 0.164;Simbad;179.23162;-12.10791
HD 103891              ;   88; 75;5154; 71;2004-02-28T06:01:50.936;2018-04-09T04:43:04.413; 6.550; 0.010;1997A&A...323L..49P; 0.557; 0.003;2007A&A...474..653V; 17.984; 0.142;2018A&A...616A...1G;  55.60;0;F9;6072; 20.0; 3.79; 0.03;-0.19; 0.01;2017A&A...606A..94D; 1.279; 0.013; 2.216; 0.051; 3.680; 0.077; 0.1419; 0.1421; 0.0010; 0.0033;-5.1226;-5.1201; 0.0092; 0.754; 0.758; 0.016; 0.054;Simbad;179.43876;-08.54871
HD 103949              ;    4;  4;1077; 99;2004-02-02T07:28:40.511;2007-01-14T08:04:51.936; 8.703; 0.010;1997A&A...323L..49P; 0.986; 0.015;2007A&A...474..653V; 37.708; 0.076;2018A&A...616A...1G;  26.52;1;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.3443; 0.3406; 0.0016; 0.0178;       ;       ;       ;      ;      ;      ;      ;Simbad;179.54877;-23.92389
HD 104006              ;   51; 39;4174; 87;2004-02-13T06:57:30.874;2015-07-19T00:29:52.483; 8.906; 0.010;1997A&A...323L..49P; 0.779; 0.022;2007A&A...474..653V; 30.535; 0.041;2018A&A...616A...1G;  32.75;0;K2;5046; 32.0; 4.72; 0.06;-0.78; 0.02;2017A&A...606A..94D; 0.682; 0.008; 0.697; 0.013; 0.029; 0.002; 0.1811; 0.1811; 0.0011; 0.0036;-4.9682;-4.9683; 0.0044; 1.076; 1.076; 0.011; 0.037;Simbad;179.61672;-41.92201
HD 104067              ;   89; 86;2271;133;2004-02-02T07:45:38.804;2010-04-22T03:40:31.548; 7.939; 0.010;1997A&A...323L..49P; 0.981; 0.010;2007A&A...474..653V; 49.079; 0.059;2018A&A...616A...1G;  20.38;1;K2;4969; 72.0; 4.64; 0.13;-0.06; 0.05;2008A&A...487..373S; 0.777; 0.023; 0.723; 0.012; 4.271; 4.537; 0.3606; 0.3591; 0.0013; 0.0182;-4.7350;-4.7370; 0.0017; 1.841; 1.832; 0.007; 0.101;Simbad;179.79170;-20.35378
HD 104263              ;   30; 29;2245;131;2004-02-02T08:14:23.515;2010-03-27T04:51:14.951; 8.186; 0.010;1997A&A...323L..49P; 0.737; 0.002;2007A&A...474..653V; 23.780; 0.059;2018A&A...616A...1G;  42.05;0;G8;5477; 23.0; 4.31; 0.04; 0.02; 0.02;2008A&A...487..373S; 0.889; 0.012; 0.999; 0.006;11.941; 2.309; 0.1612; 0.1604; 0.0008; 0.0028;-5.0507;-5.0548; 0.0044; 0.890; 0.881; 0.009; 0.033;Simbad;180.11440;-04.54881
HD 104731              ;   79; 19; 595;273;2006-02-11T07:50:21.625;2011-07-23T00:07:09.564; 5.150; 0.010;1997A&A...323L..49P; 0.417; 0.015;2007A&A...474..653V; 40.441; 0.166;2018A&A...616A...1G;  24.73;0;F1;6937;144.0; 4.28; 0.17;-0.08; 0.08;thiswork           ; 1.380; 0.039; 1.414; 0.049; 0.640; 0.567; 0.1834; 0.1834; 0.0005; 0.0020;-4.6441;-4.6443; 0.0022; 2.269; 2.268; 0.012; 0.043;Simbad;180.91488;-42.43406
